CODE,DESCRIPTION,NON-FACILITY GLOBAL FEE,FACILITY GLOBAL FEE,PROFESSIONAL COMPONENT FEE,BR,PA,FU DAYS,CHANGE
11400,"EXCISION, BENIGN LESION INCLUDING MARGIN",66.94,34.66,NA,NA,0,10,NA
11401,"EXCISION, BENIGN LESION INCLUDING MARGIN",79.91,45.47,NA,NA,0,10,NA
11402,"EXCISION, BENIGN LESION INCLUDING MARGIN",88.74,49.95,NA,NA,0,10,NA
11403,"EXCISION, BENIGN LESION INCLUDING MARGIN",101.7,63.42,NA,NA,0,10,NA
11404,"EXCISION, BENIGN LESION INCLUDING MARGIN",115.54,70.24,NA,NA,0,10,NA
11406,"EXCISION, BENIGN LESION INCLUDING MARGIN",159.31,103.44,NA,NA,0,10,NA
11420,"EXCISION, BENIGN LESION INCLUDING MARGIN",66.71,37.75,NA,NA,0,10,NA
11421,"EXCISION, BENIGN LESION INCLUDING MARGIN",85.02,50.34,NA,NA,0,10,NA
11422,"EXCISION, BENIGN LESION INCLUDING MARGIN",95.03,60.33,NA,NA,0,10,NA
11423,"EXCISION, BENIGN LESION INCLUDING MARGIN",110.7,70.1,NA,NA,0,10,NA
11424,"EXCISION, BENIGN LESION INCLUDING MARGIN",126.8,81.05,NA,NA,0,10,NA
11426,"EXCISION, BENIGN LESION INCLUDING MARGIN",179.5,122.31,NA,NA,0,10,NA
11440,"EXCISION, OTHER BENIGN LESION INCLUDING",74.33,45.75,NA,NA,0,10,NA
11441,"EXCISION, OTHER BENIGN LESION INCLUDING",91.59,59.1,NA,NA,0,10,NA
11442,"EXCISION, OTHER BENIGN LESION INCLUDING",102.79,65.56,NA,NA,0,10,NA
11443,"EXCISION, OTHER BENIGN LESION INCLUDING",123.35,80.85,NA,NA,0,10,NA
11444,"EXCISION, OTHER BENIGN LESION INCLUDING",154.84,103.19,NA,NA,0,10,NA
11446,"EXCISION, OTHER BENIGN LESION INCLUDING",206.69,144.76,NA,NA,0,10,NA
11450,EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,196.85,105.39,NA,NA,0,90,NA
11451,EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,260.39,139.87,NA,NA,0,90,NA
11462,EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,195.22,101.56,NA,NA,0,90,NA
11463,EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,265.28,141.7,NA,NA,0,90,NA
11470,EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,213.31,119.92,NA,NA,0,90,NA
11471,EXCISION OF SKIN AND SUBCUTANEOUS TISSUE,273.96,152.01,NA,NA,0,90,NA
11600,"EXCISION, MALIGNANT LESION INCLUDING MAR",100.66,50.25,NA,NA,0,10,NA
11601,"EXCISION, MALIGNANT LESION INCLUDING MAR",119.5,64.51,NA,NA,0,10,NA
11602,"EXCISION, MALIGNANT LESION INCLUDING MAR",130.09,70.05,NA,NA,0,10,NA
11603,"EXCISION, MALIGNANT LESION INCLUDING MAR",147.75,82.93,NA,NA,0,10,NA
11604,"EXCISION, MALIGNANT LESION INCLUDING MAR",163.22,90.9,NA,NA,0,10,NA
11606,"EXCISION, MALIGNANT LESION INCLUDING MAR",227.23,134.39,NA,NA,0,10,NA
11620,"EXCISION, MALIGNANT LESION INCLUDING MAR",101.41,50.67,NA,NA,0,10,NA
11621,"EXCISION, MALIGNANT LESION INCLUDING MAR",120.47,65.32,NA,NA,0,10,NA
11622,"EXCISION, MALIGNANT LESION INCLUDING MAR",135.76,80,NA,NA,0,10,NA
11623,"EXCISION, MALIGNANT LESION INCLUDING MAR",158.63,91.99,NA,NA,0,10,NA
11624,"EXCISION, MALIGNANT LESION INCLUDING MAR",179.49,105.27,NA,NA,0,10,NA
11626,"EXCISION, MALIGNANT LESION INCLUDING MAR",221.4,134.46,NA,NA,0,10,NA
11640,"EXCISION, MALIGNANT LESION INCLUDING MAR",106,60,NA,NA,0,10,NA
11641,"EXCISION, MALIGNANT LESION INCLUDING MAR",128.89,80,NA,NA,0,10,NA
11642,"EXCISION, MALIGNANT LESION INCLUDING MAR",148.19,100,NA,NA,0,10,NA
11643,"EXCISION, MALIGNANT LESION INCLUDING MAR",174.1,110,NA,NA,0,10,NA
11644,"EXCISION, MALIGNANT LESION INCLUDING MAR",216.01,130.38,NA,NA,0,10,NA
11646,"EXCISION, MALIGNANT LESION INCLUDING MAR",283.94,184.73,NA,NA,0,10,NA
11720,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S);,17.23,8.21,NA,NA,0,0,NA
11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S);,24.76,14.07,NA,NA,0,0,NA
11730,"AVULSION OF NAIL PLATE, PARTIAL OR COMPL",54.67,28.74,NA,NA,0,0,NA
11732,"AVULSION OF NAIL PLATE, PARTIAL OR COMPL",25.22,14.66,NA,NA,0,0,NA
11740,EVACUATION OF SUBUNGUAL HEMATOMA,25.04,15.12,NA,NA,0,0,NA
11750,"EXCISION OF NAIL AND NAIL MATRIX, PARTIA",116.84,82.19,NA,NA,0,10,NA
11755,"BIOPSY OF NAIL UNIT (EG, PLATE, BED, MAT",74.09,40.42,NA,NA,0,0,NA
11760,REPAIR OF NAIL BED,111.47,64.18,NA,NA,0,10,NA
11762,RECONSTRUCTION OF NAIL BED WITH GRAFT,148.38,97.4,NA,NA,0,10,NA
11765,"WEDGE EXCISION OF SKIN OF NAIL FOLD (EG,",71.28,31.71,NA,NA,0,10,NA
11770,EXCISION OF PILONIDAL CYST OR SINUS; SIM,146.57,120,NA,NA,0,10,NA
11771,EXCISION OF PILONIDAL CYST OR SINUS; EXT,289.85,187.4,NA,NA,0,90,NA
11772,EXCISION OF PILONIDAL CYST OR SINUS; COM,358.84,248.58,NA,NA,0,90,NA
11900,"INJECTION, INTRALESIONAL; UP TO AND INCL",30.31,13.98,NA,NA,0,0,NA
11901,"INJECTION, INTRALESIONAL; MORE THAN SEVE",37.32,21.67,NA,NA,0,0,NA
11920,"TATTOOING, INTRADERMAL INTRODUCTION OF I",112.63,54.27,NA,NA,0,0,NA
11921,"TATTOOING, INTRADERMAL INTRODUCTION OF I",127.37,64.1,NA,NA,0,0,NA
11922,"TATTOOING, INTRADERMAL INTRODUCTION OF I",NA,NA,NA,BR,0,0,NA
11950,SUBCUTANEOUS INJECTION OF FILLING MATERI,43.36,23,NA,NA,1,0,NA
11951,SUBCUTANEOUS INJECTION OF FILLING MATERI,56.33,31.16,NA,NA,1,0,NA
11952,SUBCUTANEOUS INJECTION OF FILLING MATERI,80.95,46.54,NA,NA,1,0,NA
11954,SUBCUTANEOUS INJECTION OF FILLING MATERI,95.56,53.18,NA,NA,1,0,NA
11960,INSERTION OF TISSUE EXPANDER(S) FOR OTHE,512.38,426.98,NA,NA,0,90,NA
11970,REPLACEMENT OF TISSUE EXPANDER WITH PERM,335.3,279.42,NA,NA,0,90,NA
11971,REMOVAL OF TISSUE EXPANDER(S) WITHOUT IN,276.06,140.83,NA,NA,0,90,NA
11976,"REMOVAL, IMPLANTABLE CONTRACEPTIVE CAPSU",83.43,57,NA,NA,0,0,NA
11980,SUBCUTANEOUS HORMONE PELLET IMPLANTATION,81,81,NA,NA,0,0,NA
11981,"INSERTION, NON-BIODEGRADABLE DRUG DELIVE",81,81,NA,NA,0,0,NA
11982,"REMOVAL, NON-BIODEGRADABLE DRUG DELIVERY",88.93,57,NA,NA,0,0,NA
11983,"REMOVAL WITH REINSERTION, NON-BIODEGRADA",133.14,109.5,NA,NA,0,0,NA
12001,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF S,84.14,47.35,NA,NA,0,0,NA
12002,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF S,89.54,53.08,NA,NA,0,0,NA
12004,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF S,104.98,62.26,NA,NA,0,0,NA
12005,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF S,130.64,77.28,NA,NA,0,0,NA
12006,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF S,162.44,97.83,NA,NA,0,0,NA
12007,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF S,182.81,112.35,NA,NA,0,0,NA
12011,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,89.69,49.11,NA,NA,0,0,NA
12013,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,98.47,56.21,NA,NA,0,0,NA
12014,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,115.49,67.32,NA,NA,0,0,NA
12015,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,144.94,84.28,NA,NA,0,0,NA
12016,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,171.41,102.65,NA,NA,0,0,NA
12017,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,149.04,124.2,NA,NA,0,0,NA
12018,SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF F,178.9,149.08,NA,NA,0,0,NA
12020,TREATMENT OF SUPERFICIAL WOUND DEHISCENC,153.04,88.16,NA,NA,0,10,NA
12031,"REPAIR, INTERMEDIATE, WOUNDS OF SCALP, A",124.13,68.17,NA,NA,0,10,NA
12032,"REPAIR, INTERMEDIATE, WOUNDS OF SCALP, A",165.83,87.13,NA,NA,0,10,NA
12034,"REPAIR, INTERMEDIATE, WOUNDS OF SCALP, A",161.62,90,NA,NA,0,10,NA
12035,"REPAIR, INTERMEDIATE, WOUNDS OF SCALP, A",208.18,109.5,NA,NA,0,10,NA
12036,"REPAIR, INTERMEDIATE, WOUNDS OF SCALP, A",230.18,128.45,NA,NA,0,10,NA
12037,"REPAIR, INTERMEDIATE, WOUNDS OF SCALP, A",258.95,149.34,NA,NA,0,10,NA
12041,"REPAIR, INTERMEDIATE, WOUNDS OF NECK, HA",131.93,73.85,NA,NA,0,10,NA
12042,"REPAIR, INTERMEDIATE, WOUNDS OF NECK, HA",155.62,120,NA,NA,0,10,NA
12044,"REPAIR, INTERMEDIATE, WOUNDS OF NECK, HA",176.56,130,NA,NA,0,10,NA
12045,"REPAIR, INTERMEDIATE, WOUNDS OF NECK, HA",210.34,140,NA,NA,0,10,NA
12046,"REPAIR, INTERMEDIATE, WOUNDS OF NECK, HA",248.66,150,NA,NA,0,10,NA
12047,"REPAIR, INTERMEDIATE, WOUNDS OF NECK, HA",266.04,160,NA,NA,0,10,NA
12051,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",146.06,80.7,NA,NA,0,10,NA
12052,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",160.49,160,NA,NA,0,10,NA
12053,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",175.67,160,NA,NA,0,10,NA
12054,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",188.4,170,NA,NA,0,10,NA
12055,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",229.93,180,NA,NA,0,10,NA
12056,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",284.23,190,NA,NA,0,10,NA
12057,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EA",305.52,200,NA,NA,0,10,NA
13100,"REPAIR, COMPLEX, TRUNK; 1.1 CM TO 2.5 CM",174.38,107.38,NA,NA,0,10,NA
13101,"REPAIR, COMPLEX, TRUNK; 2.6 CM TO 7.5 CM",216.46,129.73,NA,NA,0,10,NA
13102,"REPAIR, COMPLEX, TRUNK; EACH ADDITIONAL",59.19,34.76,NA,NA,0,0,NA
13120,"REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEG",180.81,111.71,NA,NA,0,10,NA
13121,"REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEG",236.86,144.87,NA,NA,0,10,NA
13122,"REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEG",68.24,39.64,NA,NA,0,0,NA
13131,"REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN,",198.89,126.58,NA,NA,0,10,NA
13132,"REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN,",309.32,209.78,NA,NA,0,10,NA
13133,"REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN,",92.33,61.15,NA,NA,0,0,NA
13151,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND",225.03,146.92,NA,NA,0,10,NA
13152,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND",305.4,196.87,NA,NA,0,10,NA
13153,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND",103.03,67.2,NA,NA,0,0,NA
13160,SECONDARY CLOSURE OF SURGICAL WOUND OR D,450.78,375.65,NA,NA,0,90,NA
14000,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,359.26,245.24,NA,NA,0,90,NA
14001,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,465.76,327.83,NA,NA,0,90,NA
14020,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,400.17,279.95,NA,NA,0,90,NA
14021,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,522.83,379.09,NA,NA,0,90,NA
14040,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,419.91,300.7,NA,NA,0,90,NA
14041,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,572.56,413.96,NA,NA,0,90,NA
14060,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,427.84,316.95,NA,NA,0,90,NA
14061,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,621.43,448.54,NA,NA,0,90,NA
14301,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,502.99,352.2,NA,NA,0,90,NA
14302,ADJACENT TISSUE TRANSFER OR REARRANGEMEN,108.88,90.74,NA,NA,0,0,NA
14350,"FILLETED FINGER OR TOE FLAP, INCLUDING P",423.71,353.09,NA,NA,0,90,NA
15002,SURGICAL PREPARATION OR CREATION OF RECI,189.25,105.82,NA,NA,0,0,NA
15003,SURGICAL PREPARATION OR CREATION OF RECI,40.84,20.91,NA,NA,0,0,NA
15004,SURGICAL PREPARATION OR CREATION OF RECI,227.42,130.86,NA,NA,0,0,NA
15005,SURGICAL PREPARATION OR CREATION OF RECI,68.14,42.22,NA,NA,0,0,NA
15040,HARVEST OF SKIN FOR TISSUE CULTURED SKIN,150.77,60.84,NA,NA,0,0,NA
15050,"PINCH GRAFT, SINGLE OR MULTIPLE, TO COVE",301.34,205.79,NA,NA,0,90,NA
15100,"SPLIT-THICKNESS AUTOGRAFT, TRUNK, ARMS,",502.73,338.34,NA,NA,0,90,NA
15101,"SPLIT-THICKNESS AUTOGRAFT, TRUNK, ARMS,",116.68,54.37,NA,NA,0,0,NA
15110,"EPIDERMAL AUTOGRAFT, TRUNK, ARMS, LEGS;",490.4,346.52,NA,NA,0,90,NA
15111,"EPIDERMAL AUTOGRAFT, TRUNK, ARMS, LEGS;",70.19,50.7,NA,NA,0,0,NA
15115,"EPIDERMAL AUTOGRAFT, FACE, SCALP, EYELID",481.25,356.33,NA,NA,0,90,NA
15116,"EPIDERMAL AUTOGRAFT, FACE, SCALP, EYELID",92.6,68.97,NA,NA,0,0,NA
15120,"SPLIT-THICKNESS AUTOGRAFT, FACE, SCALP,",521.38,364.35,NA,NA,0,90,NA
15121,"SPLIT-THICKNESS AUTOGRAFT, FACE, SCALP,",160.25,84.32,NA,NA,0,0,NA
15130,"DERMAL AUTOGRAFT, TRUNK, ARMS, LEGS; FIR",392.39,266.49,NA,NA,0,90,NA
15131,"DERMAL AUTOGRAFT, TRUNK, ARMS, LEGS; EAC",56.47,40.91,NA,NA,0,0,NA
15135,"DERMAL AUTOGRAFT, FACE, SCALP, EYELIDS,",488.56,364.27,NA,NA,0,90,NA
15136,"DERMAL AUTOGRAFT, FACE, SCALP, EYELIDS,",54.03,41.34,NA,NA,0,0,NA
15150,"TISSUE CULTURED SKIN AUTOGRAFT, TRUNK, A",406.13,304.6,NA,NA,0,90,NA
15151,"TISSUE CULTURED SKIN AUTOGRAFT, TRUNK, A",73.9,54.82,NA,NA,0,0,NA
15152,"TISSUE CULTURED SKIN AUTOGRAFT, TRUNK, A",90.83,68.52,NA,NA,0,0,NA
15155,"TISSUE CULTURED SKIN AUTOGRAFT, FACE, SC",419.15,326.74,NA,NA,0,90,NA
15156,"TISSUE CULTURED SKIN AUTOGRAFT, FACE, SC",97.39,75.83,NA,NA,0,0,NA
15157,"TISSUE CULTURED SKIN AUTOGRAFT, FACE, SC",108.33,82.69,NA,NA,0,0,NA
15200,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",442.82,299.7,NA,NA,0,90,NA
15201,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",87.51,42,NA,NA,0,0,NA
15220,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",423.01,288.11,NA,NA,0,90,NA
15221,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",81.08,40,NA,NA,0,0,NA
15240,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",501.51,362.76,NA,NA,0,90,NA
15241,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",104.45,55,NA,NA,0,0,NA
15260,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",533.9,390.37,NA,NA,0,90,NA
15261,"FULL THICKNESS GRAFT, FREE, INCLUDING DI",120.03,68.03,NA,NA,0,0,NA
15271,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,65.71,54.76,NA,NA,0,0,NA
15272,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,12.36,10.3,NA,NA,0,0,NA
15273,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,134.66,112.22,NA,NA,0,0,NA
15274,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,31.7,26.42,NA,NA,0,0,NA
15275,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,70.34,58.62,NA,NA,0,0,NA
15276,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,15.22,12.69,NA,NA,0,0,NA
15277,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,97.05,80.88,NA,NA,0,0,NA
15278,APPLICATION OF SKIN SUBSTITUTE GRAFT TO,37.38,31.15,NA,NA,0,0,NA
15570,"FORMATION OF DIRECT OR TUBED PEDICLE, WI",497.59,328.93,NA,NA,0,90,NA
15572,"FORMATION OF DIRECT OR TUBED PEDICLE, WI",466.97,325.97,NA,NA,0,90,NA
15574,"FORMATION OF DIRECT OR TUBED PEDICLE, WI",502.91,353.46,NA,NA,0,90,NA
15576,"FORMATION OF DIRECT OR TUBED PEDICLE, WI",447.39,310.89,NA,NA,0,90,NA
15600,DELAY OF FLAP OR SECTIONING OF FLAP (DIV,204.91,97.95,NA,NA,0,90,NA
15610,DELAY OF FLAP OR SECTIONING OF FLAP (DIV,184.4,114.91,NA,NA,0,90,NA
15620,DELAY OF FLAP OR SECTIONING OF FLAP (DIV,257.26,147.94,NA,NA,0,90,NA
15630,DELAY OF FLAP OR SECTIONING OF FLAP (DIV,262.04,160.32,NA,NA,0,90,NA
15650,"TRANSFER, INTERMEDIATE, OF ANY PEDICLE F",281.66,175.04,NA,NA,0,90,NA
15730,"MIDFACE FLAP (IE, ZYGOMATICOFACIAL FLAP) WITH",1016.27,503.68,NA,NA,0,90,NA
15731,FOREHEAD FLAP WITH PRESERVATION OF VASCU,609.67,455.55,NA,NA,0,90,NA
15733,"MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS",690.22,575.19,NA,NA,0,90,NA
15734,"MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS",875.45,631.31,NA,NA,0,90,NA
15736,"MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS",789.88,547.28,NA,NA,0,90,NA
15738,"MUSCLE, MYOCUTANEOUS, OR FASCIOCUTANEOUS",836.63,596.29,NA,NA,0,90,NA
15740,FLAP; ISLAND PEDICLE,542.17,389.87,NA,NA,0,90,NA
15750,FLAP; NEUROVASCULAR PEDICLE,511.93,426.61,NA,NA,0,90,NA
15756,FREE MUSCLE OR MYOCUTANEOUS FLAP WITH MI,1335.05,1112.55,NA,NA,0,90,NA
15757,FREE SKIN FLAP WITH MICROVASCULAR ANASTO,1327.46,1106.22,NA,NA,0,90,NA
15758,FREE FASCIAL FLAP WITH MICROVASCULAR ANA,1326.07,1105.06,NA,NA,0,90,NA
15760,"GRAFT; COMPOSITE (EG, FULL THICKNESS OF",468.3,327.29,NA,NA,0,90,NA
15769,"GRAFTING OF AUTOLOGOUS SOFT TISSUE, OTHER",326.51,272.09,NA,NA,1,90,*
15771,GRAFTING OF AUTOLOGOUS FAT HARVESTED BY,389.84,270.14,NA,NA,1,90,*
15772,GRAFTING OF AUTOLOGOUS FAT HARVESTED BY,123,79.94,NA,NA,1,ZZZ,*
15773,GRAFTING OF AUTOLOGOUS FAT HARVESTED BY,393.23,272.97,NA,NA,1,90,*
15774,GRAFTING OF AUTOLOGOUS FAT HARVESTED BY,119.11,76.7,NA,NA,1,ZZZ,*
