CPT,Specialty,data_year,num,charged,paid,n
630,Vascular,2015,3,5091.5,641.24,2
740,IR,2010,11,8250,1359.05,1
740,IR,2012,2,1109.6,301.34000000000003,2
740,IR,2013,9,14030.2,403.2,2
740,Neurology,2011,5,3118.5,540.73,3
740,Neurology,2012,19,12449.07,2914.66,8
740,Neurology,2013,9,4241.96,572.99,4
740,Neurology,2014,14,8041.62,1872.1100000000001,5
740,Neurology,2015,1,1200,0,1
740,Neurosurgery,2010,3,3520,724.97,2
740,Neurosurgery,2012,5,7260,612.01,3
740,Neurosurgery,2013,3,2420,379.15000000000003,3
740,Neurosurgery,2014,6,4830,1034.88,3
740,Neurosurgery,2015,2,1650,341.14,2
740,Neurosurgery,2016,2,2090,421.73,2
740,Neurosurgery,2017,2,1870,376.83,2
740,Vascular,2013,9,1604,0,2
740,Vascular,2014,21,6240,0,2
740,Vascular,2015,30,18028.5,2152.8399999999997,4
740,Vascular,2016,2,749,134.87,2
740,Vascular,2017,10,6329.25,1366.8700000000001,4
790,Neurology,2010,1,2633.59,660.95,1
790,Neurology,2011,7,13097.98,2672.21,5
790,Neurology,2012,10,13557.5,2386.9900000000002,6
790,Neurology,2013,3,4878.2,1238.24,2
790,Neurology,2014,5,8309.78,1577.74,3
790,Neurosurgery,2010,9,21010,3889.5699999999997,3
790,Neurosurgery,2011,2,6160,830.15,2
790,Neurosurgery,2012,2,4840,1045.01,1
790,Neurosurgery,2013,5,9130,2008.9900000000002,3
790,Neurosurgery,2014,18,37820,8067.23,3
790,Neurosurgery,2015,3,4730,1069.15,2
790,Neurosurgery,2016,6,11110,2309.03,1
790,Neurosurgery,2017,4,10137,2317.86,2
790,Neurosurgery,2018,4,10120,2082.89,2
790,Vascular,2011,1,977.46,0,1
790,Vascular,2013,2,702,0,2
790,Vascular,2014,6,4556,0,2
790,Vascular,2015,9,9843,1239.6699999999998,3
790,Vascular,2016,1,575,95.75,1
790,Vascular,2017,7,8262.75,1444.32,5
810,IR,2010,23,20130,3604.63,1
810,IR,2012,2,927.2,251.8,1
810,IR,2013,23,37572.4,940.8,1
810,Neurology,2012,1,380.26,94.19,1
810,Neurology,2013,2,1457.07,297.09000000000003,2
810,Neurology,2014,3,1067.26,280.99,2
810,Neurosurgery,2010,1,990,103.95,1
810,Neurosurgery,2012,2,5280,88.3,2
810,Neurosurgery,2013,1,880,94.79,1
810,Neurosurgery,2014,6,5500,1056.23,1
810,Neurosurgery,2015,1,770,170.57,1
810,Neurosurgery,2016,1,418,156.11,1
810,Neurosurgery,2017,1,538,201.45,1
810,Vascular,2012,2,1443.13,0,1
810,Vascular,2013,8,1590,0,2
810,Vascular,2014,37,13011,0,4
810,Vascular,2015,12,7276,916.38,4
810,Vascular,2016,12,5078.25,935.93,5
810,Vascular,2017,24,12247.5,2191.32,5
1260,IR,2012,3,1500,0,1
1260,IR,2013,32,16000,2394.8900000000003,3
1260,Vascular,2010,5,1350,273.82,2
1260,Vascular,2011,28,18287.5,906.83,4
1260,Vascular,2012,155,140397.5,1279.1299999999999,7
1260,Vascular,2013,222,197325,10935.51,4
1260,Vascular,2014,192,166800,24353.5,6
1260,Vascular,2015,101,85950,11979.550000000001,4
1260,Vascular,2016,165,165000,25634.84,2
1260,Vascular,2017,161,161000,25673.06,1
1260,Vascular,2018,39,39000,6985.21,1
1402,Neurology,2010,1,2498,0,1
1402,Neurology,2011,2,3942.78,945.52,1
1402,Neurology,2012,2,2104.06,523.9,2
1402,Neurology,2013,1,1717.89,435.64,1
1402,Neurology,2014,1,1244.69,327.81,1
1402,Neurosurgery,2010,20,19542,5656.7,4
1402,Neurosurgery,2011,14,12684,4072.79,1
1402,Neurosurgery,2012,26,23646,7849.6500000000005,4
1402,Neurosurgery,2013,26,28978,7576.429999999999,4
1402,Neurosurgery,2014,8,9002,2314.15,2
1402,Neurosurgery,2015,1,1760,383.76,1
1402,Neurosurgery,2016,1,1760,365.81,1
1402,Neurosurgery,2017,3,5060,699.15,1
1402,Vascular,2013,2,564,0,1
1402,Vascular,2015,2,2516,158.44,1
1402,Vascular,2017,1,1323,153.69,1
1402,Vascular,2018,1,831.25,138.92,1
1630,Neurology,2012,1,963.3,239.86,1
1630,Neurology,2014,1,1183,301.05,1
1630,Neurosurgery,2010,5,3402,1137.68,2
1630,Neurosurgery,2011,9,7032,1729.6499999999999,3
1630,Neurosurgery,2012,9,7146,3361.5699999999997,3
1630,Neurosurgery,2013,2,1561,444.94,2
1630,Neurosurgery,2014,1,756,229.5,1
1630,Vascular,2013,1,238,0,1
1630,Vascular,2015,1,489.5,110.73,1
1630,Vascular,2016,29,17088,3234.76,4
1630,Vascular,2017,27,19362.5,3184.23,3
1630,Vascular,2018,33,23012.5,3642.24,3
1810,Neurology,2011,1,363.36,87.25,1
1810,Neurology,2012,2,1943.5,483.91999999999996,2
1810,Neurology,2013,2,1464.39,371.26,1
1810,Neurosurgery,2010,5,2144,593.87,2
1810,Neurosurgery,2011,3,1170,385.9,2
1810,Neurosurgery,2012,5,4032,448.22,2
1810,Neurosurgery,2013,10,5565,1636.9,2
1810,Neurosurgery,2014,3,1698,300.3,2
1810,Neurosurgery,2017,1,1199,452.67,1
1810,Vascular,2014,2,520,0,1
1810,Vascular,2015,3,974,171.75,3
1810,Vascular,2016,31,9834.25,1791.51,4
1810,Vascular,2017,36,13118.75,2152.57,3
1810,Vascular,2018,71,25825,4265.92,3
1930,IR,2013,10,5000,0,1
1930,IR,2014,5,2262.92,262.92,2
1930,IR,2015,15,7500,0,1
1930,IR,2016,4,2000,0,1
1930,IR,2017,13,6500,0,1
1930,IR,2018,1,500,0,1
1930,Neurosurgery,2011,1,1100,233.15,1
1930,Neurosurgery,2012,1,1100,229.81,1
1930,Neurosurgery,2013,1,1430,302.83,1
1930,Neurosurgery,2017,1,1210,251.22,1
1930,Vascular,2011,7,3500,705.96,1
1930,Vascular,2012,1,1012.15,0,1
1930,Vascular,2014,1,884,298.7,1
1930,Vascular,2015,32,16000,0,1
1930,Vascular,2016,55,27500,0,1
1930,Vascular,2017,33,16500,0,1
1930,Vascular,2018,25,12350,130.8,2
1992,Neurology,2011,1,200.2,144.58,1
1992,Neurology,2012,4,2325,110.97,3
1992,Neurology,2013,1,250,147,1
1992,Neurology,2017,1,756,120.42,1
1992,Neurosurgery,2010,1,880,186.44,1
1992,Neurosurgery,2011,1,550,121.86,1
1992,Neurosurgery,2013,2,1100,126.54,1
1992,Neurosurgery,2014,5,3000,394.74,1
1992,Neurosurgery,2015,2,1285.2,139.55,2
1992,Neurosurgery,2017,3,2160,0,1
1992,Vascular,2017,32,12106.25,1932.31,5
1992,Vascular,2018,51,19256.25,3103.4,6
1996,IR,2013,22,1486.98,1292.94,2
1996,IR,2014,22,1543.74,1342.44,1
1996,IR,2015,37,2590.23,2251.87,1
1996,IR,2016,42,2959.74,2348.58,1
1996,IR,2017,30,2084.4,1895.28,1
1996,IR,2018,6,2376,384.48,1
1996,Neurology,2010,27,8100,1792.56,2
1996,Neurology,2011,10,3000,519.36,1
1996,Neurology,2012,12,790.92,691.2,1
1996,Neurology,2013,11,866.95,540.62,3
1996,Neurology,2014,1,70.17,61.02,1
1996,Neurology,2015,20,1788.18,1230.92,2
1996,Neurology,2016,10,704.7,602.2,1
1996,Neurology,2017,21,1459.08,1329.24,1
1996,Neurology,2018,32,7822.12,1924.0500000000002,4
1996,Neurosurgery,2010,321,54086,17411.670000000002,12
1996,Neurosurgery,2011,346,62476,20364.66,5
1996,Neurosurgery,2012,300,53934,18032.82,7
1996,Neurosurgery,2013,312,62852,18699.36,4
1996,Neurosurgery,2014,163,34362,8425.2,5
1996,Neurosurgery,2015,12,2493,707.16,4
1996,Neurosurgery,2016,9,1975,508.46999999999997,6
1996,Neurosurgery,2017,7,1508,383.1,3
1996,Neurosurgery,2018,12,2672,781.89,4
1996,Vascular,2010,1,118,62.82,1
1996,Vascular,2012,4,944,283.89,2
1996,Vascular,2015,1,150,69.66,1
10021,IR,2010,9,2087.14,662.48,8
10021,IR,2011,9,2447,682.25,7
10021,IR,2012,9,2637,434.61,6
10021,IR,2013,12,3654,971.85,10
10021,IR,2014,13,3539,1098.69,11
10021,IR,2015,12,4053,888.9200000000001,11
10021,IR,2016,10,2555,619.19,5
10021,IR,2017,10,2885.78,742.75,7
10021,IR,2018,11,3860,842,6
10021,Neurology,2010,23,3681,1929.24,10
10021,Neurology,2011,22,4459.1,2053.52,8
10021,Neurology,2012,16,2545.11,1421.92,7
10021,Neurology,2013,37,9800.75,3106.48,11
10021,Neurology,2014,20,4562.13,1765.18,8
10021,Neurology,2015,31,9277.12,2473.87,14
10021,Neurology,2016,30,7488.86,2430.82,10
10021,Neurology,2017,21,4865.95,1824.23,8
10021,Neurology,2018,13,4481.98,1167.58,10
10021,Neurosurgery,2010,18,4993.86,1773.08,14
10021,Neurosurgery,2011,31,9712.57,3470.09,15
10021,Neurosurgery,2012,28,7713.4,3111.87,20
10021,Neurosurgery,2013,48,16622.83,5634.42,29
10021,Neurosurgery,2014,33,10344.09,3172.23,22
10021,Neurosurgery,2015,38,12624.5,3833.62,29
10021,Neurosurgery,2016,34,20941.65,2315.62,31
10021,Neurosurgery,2017,38,13852.17,3052.87,27
10021,Neurosurgery,2018,37,11773.95,2639.7,34
10021,Vascular,2010,104,25316.63,11957.36,64
10021,Vascular,2011,95,26012.9,11582.65,50
10021,Vascular,2012,126,35235.42,15019.029999999999,62
10021,Vascular,2013,116,35181.4,14765.83,60
10021,Vascular,2014,101,30241.48,12540.03,48
10021,Vascular,2015,88,36915.75,10456.5,48
10021,Vascular,2016,75,20426.45,7300.04,44
10021,Vascular,2017,49,16338.35,4817.15,36
10021,Vascular,2018,57,15077.68,5534.59,45
10022,IR,2010,5479,1532712.96,385048.21,775
10022,IR,2011,5754,1731074.53,423464.02,591
10022,IR,2012,6249,1940235.63,447554.61,637
10022,IR,2013,7458,2411651.97,538711.99,688
10022,IR,2014,7671,2489517.16,564415.44,697
10022,IR,2015,8284,2734200.63,604920.06,744
10022,IR,2016,9664,3072716.05,702395.94,770
10022,IR,2017,10677,3420348.81,779319.75,928
10022,IR,2018,11431,3806187.9,846407.0599999999,992
10022,Neurology,2010,56,9258.32,3720.33,11
10022,Neurology,2011,64,13439,5610.44,14
10022,Neurology,2012,64,15743.14,6335.01,17
10022,Neurology,2013,20,4352.28,1739.6200000000001,10
10022,Neurology,2014,11,1745.4,787.27,9
10022,Neurology,2015,11,3848.15,1523.45,8
10022,Neurology,2016,25,7333.01,1874.71,3
10022,Neurology,2017,31,9174.01,3169.3900000000003,10
10022,Neurology,2018,18,5400,1285.47,3
10022,Neurosurgery,2010,2,482.5,194.11,2
10022,Neurosurgery,2011,1,240.5,130.98,1
10022,Neurosurgery,2012,3,917,262.48,3
10022,Neurosurgery,2013,9,3837.46,789.25,9
10022,Neurosurgery,2014,5,2994.69,328.11,5
10022,Neurosurgery,2015,5,1861.48,279.86,4
10022,Neurosurgery,2016,5,2540,424.87,5
10022,Neurosurgery,2017,33,12137,2097.8199999999997,7
10022,Neurosurgery,2018,13,4307.2,881.04,7
10022,Vascular,2010,178,54388.91,20748.2,58
10022,Vascular,2011,310,83548.48,38515.19,56
10022,Vascular,2012,258,67811.82,33441.42,53
10022,Vascular,2013,214,59366.64,26344.83,59
10022,Vascular,2014,223,54748.97,24707.85,59
10022,Vascular,2015,193,59407.37,21114.8,58
10022,Vascular,2016,119,34083.41,13786.38,44
10022,Vascular,2017,119,38805.31,13479.68,48
10022,Vascular,2018,105,36552.57,11198.69,49
10030,IR,2014,1323,1255954.25,200838.29,365
10030,IR,2015,1530,1468492.63,234402.93,398
10030,IR,2016,1714,1699221.36,279677.98,445
10030,IR,2017,1955,1896356.96,309239.62,508
10030,IR,2018,1985,2040147.05,272113.29,511
10030,Neurosurgery,2015,2,2980,308.03999999999996,2
10030,Neurosurgery,2017,4,3667,82.17,3
10030,Neurosurgery,2018,2,2534,76.8,2
10030,Vascular,2014,34,35449.01,7057.9,32
10030,Vascular,2015,25,26793,5283.74,18
10030,Vascular,2016,32,31551.25,7194.62,28
10030,Vascular,2017,26,26853,6882.429999999999,23
10030,Vascular,2018,35,36142,6518.33,31
10035,IR,2016,57,28675.19,4681.95,41
10035,IR,2017,92,79930.24,9848.1,58
10035,IR,2018,107,67708.1,9016.289999999999,85
10035,Neurosurgery,2016,18,18882,1375.97,4
10035,Neurosurgery,2017,16,16784,1031.52,4
10035,Neurosurgery,2018,2,447,173.62,2
10035,Vascular,2017,3,951,181.56,2
10035,Vascular,2018,1,209,88.41,1
10060,IR,2010,43,11728.79,2982.59,38
10060,IR,2011,136,34129.86,10893.72,77
10060,IR,2012,193,56026.85,15926.52,91
10060,IR,2013,153,43868.68,11230.31,84
10060,IR,2014,41,11538.15,3747.46,30
10060,IR,2015,42,11099.7,3138.45,29
10060,IR,2016,33,7267.78,2057.24,27
10060,IR,2017,35,12872.25,2272.74,28
10060,IR,2018,24,7611.8,2159.29,22
10060,Neurology,2010,31,5795.24,2816.48,23
10060,Neurology,2011,32,7215.34,2427.43,17
10060,Neurology,2012,29,5085.64,2429.81,20
10060,Neurology,2013,34,5824,3587.29,17
10060,Neurology,2014,28,5035.57,2394.32,16
10060,Neurology,2015,28,6777.72,2584.81,14
10060,Neurology,2016,23,5442,1886.99,13
10060,Neurology,2017,33,9371.86,2916.72,21
10060,Neurology,2018,20,5541.86,2102.57,11
10060,Neurosurgery,2010,35,11093.14,2006.58,33
10060,Neurosurgery,2011,52,28008.92,3775.21,45
10060,Neurosurgery,2012,54,31371.29,3267.11,46
10060,Neurosurgery,2013,56,17150.28,4081.45,49
10060,Neurosurgery,2014,63,20174.38,4110.82,48
10060,Neurosurgery,2015,72,25539.66,4914.63,53
10060,Neurosurgery,2016,64,26498.53,4588.2,49
10060,Neurosurgery,2017,54,24229.87,3947.9,52
10060,Neurosurgery,2018,51,20323.06,3363.63,41
10060,Vascular,2010,1762,381280.94,133224.75,767
10060,Vascular,2011,1822,422073.23,143510.73,675
10060,Vascular,2012,1783,450037.39,142674.06,642
10060,Vascular,2013,1668,423823.34,137869.26,612
10060,Vascular,2014,1484,394226.35,121019.98,615
10060,Vascular,2015,1364,372482.25,110593.23,613
10060,Vascular,2016,1246,341220.22,101261.63,582
10060,Vascular,2017,1102,312306.69,90580.56,534
10060,Vascular,2018,1000,284987.25,81245.47,510
10061,IR,2010,11,4061.2200000000003,1316.86,9
10061,IR,2011,19,8126.09,2611.06,14
10061,IR,2012,29,14207.22,4535.24,22
10061,IR,2013,28,13729.05,4038.2,18
10061,IR,2014,20,7842.25,3030.03,13
10061,IR,2015,11,6092.32,1343.93,7
10061,IR,2016,9,4422.48,1256.4,7
10061,IR,2017,7,3464.16,1185.12,6
10061,IR,2018,7,2895.7200000000003,936.87,6
10061,Neurology,2010,7,3663.14,1095.21,6
10061,Neurology,2011,2,425.14,199.98,2
10061,Neurology,2012,10,2838.75,1263.9,8
10061,Neurology,2013,4,1230.3899999999999,746.4000000000001,4
10061,Neurology,2014,2,797.1,391.66999999999996,2
10061,Neurology,2015,3,2500,542.5899999999999,2
10061,Neurology,2016,5,5942.23,850.85,4
10061,Neurology,2017,5,1683.28,614.28,4
10061,Neurology,2018,3,2989,549.2,3
10061,Neurosurgery,2010,42,22638.94,3368.73,34
10061,Neurosurgery,2011,49,29795.47,4778.44,43
10061,Neurosurgery,2012,45,23940.82,5536.6,40
10061,Neurosurgery,2013,34,17899.9,3814.21,31
10061,Neurosurgery,2014,33,19841.91,4124.43,30
10061,Neurosurgery,2015,56,33652.65,6574.06,44
10061,Neurosurgery,2016,57,34322.5,5998.44,47
10061,Neurosurgery,2017,40,43683.49,4519.47,33
10061,Neurosurgery,2018,38,24876.3,5193.81,34
10061,Vascular,2010,1102,414561.44,135554.2,566
10061,Vascular,2011,1164,466216.2,150858.75,516
10061,Vascular,2012,1124,473020.58,156953.9,483
10061,Vascular,2013,1163,498336.5,172245.07,505
10061,Vascular,2014,1080,505368.51,156899.29,487
10061,Vascular,2015,983,471791.48,138145.08,458
10061,Vascular,2016,951,469513.55,129023.32,448
10061,Vascular,2017,878,402986.41,126674.02,427
10061,Vascular,2018,779,382279.71,109469.02,407
10120,IR,2010,7,2059,636.75,7
10120,IR,2011,7,1795.76,611.89,7
10120,IR,2012,10,3190,906.88,10
10120,IR,2013,22,7198.54,1997.21,21
10120,IR,2014,18,6551,1763.49,17
10120,IR,2015,15,5717.6,1368.1,15
10120,IR,2016,11,4133.82,1074.28,10
10120,IR,2017,8,4477,753.46,8
10120,IR,2018,19,7743.74,1641.2,18
10120,Neurology,2010,5,1150,454.84,4
10120,Neurology,2011,4,949.35,436.90999999999997,4
10120,Neurology,2012,3,590,429.25,3
10120,Neurology,2013,2,353.57,219.22,2
10120,Neurology,2014,5,1031,679.44,4
10120,Neurology,2015,5,1281.95,622.4399999999999,5
10120,Neurology,2016,5,1118.54,545.8100000000001,4
10120,Neurology,2017,2,450,326.13,2
10120,Neurosurgery,2010,67,26157.600000000002,4044.19,60
10120,Neurosurgery,2011,69,27557.420000000002,4283.42,45
10120,Neurosurgery,2012,54,27905.62,3647.51,49
10120,Neurosurgery,2013,46,15952.17,3457.87,38
10120,Neurosurgery,2014,43,14871.98,3592.59,40
10120,Neurosurgery,2015,41,18298.5,3256.33,39
10120,Neurosurgery,2016,43,18212.29,3598.02,42
10120,Neurosurgery,2017,49,19102.13,4060.58,46
10120,Neurosurgery,2018,36,15277.91,3031.96,34
10120,Vascular,2010,160,39318.53,13169.56,122
10120,Vascular,2011,184,50582.5,16171.71,132
10120,Vascular,2012,170,51788.2,16486.62,124
10120,Vascular,2013,187,51762.19,19348.170000000002,135
10120,Vascular,2014,140,40610.57,13779.28,115
10120,Vascular,2015,152,50325.840000000004,14796.64,113
10120,Vascular,2016,101,33005.81,10316.84,80
10120,Vascular,2017,145,44922.64,11229.42,97
10120,Vascular,2018,124,40081.79,12552.99,98
10121,IR,2011,1,820,192.24,1
10121,IR,2012,2,1104,368.38,2
10121,IR,2013,1,858,179.24,1
10121,IR,2014,3,1526,516.04,3
10121,IR,2015,1,650,161.21,1
10121,IR,2016,5,3648.73,762.49,5
10121,IR,2017,3,1630.5,563.59,3
10121,IR,2018,2,1302,288.76,2
10121,Neurology,2011,3,522,436.16999999999996,3
10121,Neurology,2013,1,549,150.59,1
10121,Neurology,2014,1,684.98,0,1
10121,Neurology,2015,2,1100,93.01,2
10121,Neurology,2016,2,389,361.28,2
10121,Neurosurgery,2010,42,32227.53,5910.51,40
10121,Neurosurgery,2011,40,29162.78,6449.73,38
10121,Neurosurgery,2012,47,29867.01,6658.3099999999995,38
10121,Neurosurgery,2013,39,28041.98,5365.1,35
10121,Neurosurgery,2014,65,68212.29,8149.87,55
10121,Neurosurgery,2015,41,33235.88,5501.15,37
10121,Neurosurgery,2016,59,47211.59,8660.15,55
10121,Neurosurgery,2017,65,56669.07,9227.26,59
10121,Neurosurgery,2018,58,50463.17,7839.77,51
10121,Vascular,2010,91,43623.56,14402.37,84
10121,Vascular,2011,99,45907.06,15307.62,79
10121,Vascular,2012,108,55856.58,17130.51,89
10121,Vascular,2013,123,63757.9,19671.99,102
10121,Vascular,2014,107,59140.12,16632.13,85
10121,Vascular,2015,93,52755.08,14156.9,72
10121,Vascular,2016,93,48606.9,14014.119999999999,82
10121,Vascular,2017,94,51617.45,14240.64,77
10121,Vascular,2018,99,68291.51,15257.19,81
10140,IR,2010,138,44686.8,14062.98,102
10140,IR,2011,193,63959.23,18572.02,119
10140,IR,2012,225,78356.67,23116.5,125
10140,IR,2013,295,117854.44,30979.58,156
10140,IR,2014,119,48004.59,12512.27,67
10140,IR,2015,132,58452.97,10706.89,59
10140,IR,2016,100,42200.03,9043.47,47
10140,IR,2017,121,58620.3,12079.67,45
10140,IR,2018,179,87734.34,15422.15,73
10140,Neurology,2010,23,10043.95,1663.43,18
10140,Neurology,2011,18,7016.43,1594.69,13
10140,Neurology,2012,13,5615,1248.04,8
10140,Neurology,2013,13,4950.72,1217.79,11
10140,Neurology,2014,12,4574.71,1239.4,12
10140,Neurology,2015,13,6586.85,848.03,10
10140,Neurology,2016,14,8822.7,1131.69,12
10140,Neurology,2017,14,13514,1393.4099999999999,10
10140,Neurology,2018,10,5560,854.74,10
10140,Neurosurgery,2010,508,206323.02,37654.9,292
10140,Neurosurgery,2011,624,270296.76,48032.73,323
10140,Neurosurgery,2012,588,270978.25,46195.21,293
10140,Neurosurgery,2013,621,304217.25,50814.94,300
10140,Neurosurgery,2014,687,325695.24,54113.47,320
10140,Neurosurgery,2015,647,311379.45,53502.33,309
10140,Neurosurgery,2016,669,326902.51,52227.71,304
10140,Neurosurgery,2017,650,333824.24,52733.78,308
10140,Neurosurgery,2018,660,317852.79,53822.05,321
10140,Vascular,2010,3119,1003920.07,249715,1317
10140,Vascular,2011,3063,928715.47,271455.88,1123
10140,Vascular,2012,3679,1205546.08,357278.59,1186
10140,Vascular,2013,3719,1288130.2,364057.54,1196
10140,Vascular,2014,3573,1225127.8,354673.26,1136
10140,Vascular,2015,2995,1054836.91,279795.62,1122
10140,Vascular,2016,2917,1068159.19,257245.72,1134
10140,Vascular,2017,3129,1170749.4,273039.21,1196
10140,Vascular,2018,3345,1264337.83,310130.74,1180
10160,IR,2010,1304,341275.11,100828.49,507
10160,IR,2011,1551,398971.05,126515.33,463
10160,IR,2012,1811,483258.03,150774.94,478
10160,IR,2013,2115,604263.38,173648.03,597
10160,IR,2014,1850,550944.92,140260.91,546
10160,IR,2015,2681,794674.57,201022,626
10160,IR,2016,3333,972546.95,254441.5,703
10160,IR,2017,4257,1376526.15,329111.93,860
10160,IR,2018,4242,1422735.86,332180.77999999997,891
10160,Neurology,2010,16,3342.73,950.52,12
10160,Neurology,2011,12,2933.22,1312.51,9
10160,Neurology,2012,13,3229.4,1224.16,6
10160,Neurology,2013,9,2645,685.95,7
10160,Neurology,2014,5,1237.9,493.73,5
10160,Neurology,2015,5,1397,511.74,5
10160,Neurology,2016,3,658,121.25,3
10160,Neurology,2017,4,1586.18,371.29,4
10160,Neurology,2018,3,743,127.6,3
10160,Neurosurgery,2010,116,30403.65,8172.1900000000005,85
10160,Neurosurgery,2011,106,36762.93,8011.85,75
10160,Neurosurgery,2012,138,40834.18,10680.24,88
10160,Neurosurgery,2013,82,24842.41,6550.19,53
10160,Neurosurgery,2014,126,52475.479999999996,8949.17,82
10160,Neurosurgery,2015,111,56387.33,8837.39,73
10160,Neurosurgery,2016,123,43444.29,8709.9,81
10160,Neurosurgery,2017,112,37290.6,8287.6,73
10160,Neurosurgery,2018,129,67376.51,8581.57,89
10160,Vascular,2010,1398,293730.08,103298.99,472
10160,Vascular,2011,1877,378509.92,138104.14,429
10160,Vascular,2012,2241,477794.3,175668.36,417
10160,Vascular,2013,2122,465396.82,170360.36,447
10160,Vascular,2014,2109,503608.93,155934,389
10160,Vascular,2015,2014,509490.32,155900.43,369
10160,Vascular,2016,1988,538238.69,154981.44,350
10160,Vascular,2017,1777,499229.67,142884.32,326
10160,Vascular,2018,1481,474070.79,125566.58,341
10180,IR,2010,4,2479,491.15999999999997,4
10180,IR,2011,5,3795,858.99,5
10180,IR,2012,2,831.8,268.7,2
10180,IR,2013,8,3810.6,1155.3799999999999,7
10180,IR,2014,7,3769.8,804.3000000000001,7
10180,IR,2015,1,721,146.98,1
10180,IR,2016,7,5454,806.98,7
10180,IR,2017,11,5810,2056.7799999999997,10
10180,IR,2018,3,2143,681.91,3
10180,Neurology,2010,20,10089.64,2264.9900000000002,16
10180,Neurology,2011,24,13854,2808.77,20
10180,Neurology,2012,18,10202,2039.12,13
10180,Neurology,2013,22,14332.5,2498.14,16
10180,Neurology,2014,23,9096,2470.09,16
10180,Neurology,2015,24,14527.73,3261.56,20
10180,Neurology,2016,15,8100.61,2002.62,14
10180,Neurology,2017,16,5647.06,1120.2,13
10180,Neurology,2018,10,9655.47,1157.8799999999999,9
10180,Neurosurgery,2010,1220,823477.27,134862.26,554
10180,Neurosurgery,2011,1360,884179.13,150436.1,516
10180,Neurosurgery,2012,1325,904272.64,155472.01,531
10180,Neurosurgery,2013,1355,997957.62,165670.33,487
10180,Neurosurgery,2014,1425,1085798.96,174225.82,508
10180,Neurosurgery,2015,1394,1063647.05,169925.89,472
10180,Neurosurgery,2016,1428,1100484.82,174335.35,480
10180,Neurosurgery,2017,1326,1043481.8,166380.6,472
10180,Neurosurgery,2018,1275,1045806.64,161871.96,461
10180,Vascular,2010,1022,499093.57,120843.99,585
10180,Vascular,2011,1085,543849.06,138205.44,544
10180,Vascular,2012,1085,593902.76,141619.05,576
10180,Vascular,2013,1031,557470.36,140855.59,525
10180,Vascular,2014,998,571979.78,129153.47,476
10180,Vascular,2015,984,573700.8,132913.83,465
10180,Vascular,2016,934,572789.14,122654.96,479
10180,Vascular,2017,960,572245.4,127619.2,501
10180,Vascular,2018,1058,646649.9,139663.75,499
11000,IR,2010,1,400,0,1
11000,IR,2014,3,492,41.14,3
11000,IR,2016,1,218,54.56,1
11000,IR,2018,1,85,0,1
11000,Neurology,2010,17,2813,436.08,13
11000,Neurology,2011,11,1394.02,337.23,9
11000,Neurology,2012,7,1422,82.11,6
11000,Neurology,2013,12,2424.95,389.67,10
11000,Neurology,2014,8,779.8,115.31,6
11000,Neurology,2015,10,1678.34,369.44,7
11000,Neurology,2016,10,1236.06,386.52,4
11000,Neurology,2017,2,380,84.43,2
